date,rain_mm
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,5.25
2022-06-09,2.25
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,8.00
2022-06-13,27.00
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.75
2022-06-18,0.0
2022-06-19,0.75
2022-06-20,1.25
2022-06-21,6.5
2022-06-22,43.50
2022-06-23,1.0
2022-06-24,6.75
2022-06-25,0.25
2022-06-26,0.0
2022-06-27,16.75
2022-06-28,0.25
2022-06-29,0.0
2022-06-30,0.50
2022-07-01,1.75
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,2.00
2022-07-05,1.25
2022-07-06,0.0
2022-07-07,10.25
2022-07-08,22.25
2022-07-09,7.75
2022-07-10,23.25
2022-07-11,16.00
2022-07-12,1.50
2022-07-13,9.50
2022-07-14,1.0
2022-07-15,2.25
2022-07-16,0.0
2022-07-17,14.25
2022-07-18,12.75
2022-07-19,11.75
2022-07-20,1.75
2022-07-21,0.25
2022-07-22,0.5
2022-07-23,3.25
2022-07-24,6.25
2022-07-25,0.5
2022-07-26,3.00
2022-07-27,33.25
2022-07-28,0.0
2022-07-29,1.5
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,6.75
2022-08-05,0.50
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,26.00
2022-08-09,0.5
2022-08-10,3.00
2022-08-11,0.25
2022-08-12,1.25
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,4.25
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,1.25
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,2.00
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,1.25
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,17.25
2022-08-31,0.0
2022-09-01,33.50
2022-09-02,0.0
2022-09-03,38.50
2022-09-04,8.00
2022-09-05,0.50
2022-09-06,0.0
2022-09-07,1.75
2022-09-08,3.0
2022-09-09,11.25
2022-09-10,22.00
2022-09-11,8.25
2022-09-12,14.25
2022-09-13,5.00
2022-09-14,0.75
2022-09-15,0.0
2022-09-16,13.00
2022-09-17,3.75
2022-09-18,58.75
2022-09-19,79.50
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,8.25
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,100.25
2022-10-08,3.00
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,1.25
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,0.0
2022-10-17,1.75
2022-10-18,49.00
2022-10-19,31.75
2022-10-20,0.0
2022-10-21,3.5
2022-10-22,0.0
2022-10-23,0.0
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
