Day,Date,Rainfall in mm,Runoff + Excess Runoff in mm,Crop Water Uptake in mm,Soil Moisture in mm,Percolation to Groundwater in mm
1,2022-06-01,0.00,0.00,0.00,0.00,0.00
2,2022-06-02,0.00,0.00,0.00,0.00,0.00
3,2022-06-03,0.00,0.00,0.00,0.00,0.00
4,2022-06-04,0.00,0.00,0.00,0.00,0.00
5,2022-06-05,0.00,0.00,0.00,0.00,0.00
6,2022-06-06,0.00,0.00,0.00,0.00,0.00
7,2022-06-07,0.00,0.00,0.00,0.00,0.00
8,2022-06-08,5.25,1.05,0.00,4.20,0.84
9,2022-06-09,2.25,0.45,4.00,2.00,0.40
10,2022-06-10,0.00,0.00,2.00,0.00,0.00
11,2022-06-11,0.00,0.00,0.00,0.00,0.00
12,2022-06-12,8.00,1.60,0.00,6.40,1.28
13,2022-06-13,27.00,8.10,4.00,21.30,4.26
14,2022-06-14,0.00,0.00,4.00,17.30,3.46
15,2022-06-15,0.00,0.00,4.00,13.30,2.66
16,2022-06-16,0.00,0.00,4.00,9.30,1.86
17,2022-06-17,0.75,0.15,4.00,5.90,1.18
18,2022-06-18,0.00,0.00,4.00,1.90,0.38
19,2022-06-19,0.75,0.15,1.90,0.60,0.12
20,2022-06-20,1.25,0.25,0.60,1.00,0.20
21,2022-06-21,6.50,1.30,1.00,5.20,1.04
22,2022-06-22,43.50,13.05,4.00,31.65,6.33
23,2022-06-23,1.00,0.20,4.00,28.45,5.69
24,2022-06-24,6.75,1.35,4.00,29.85,5.97
25,2022-06-25,0.25,0.05,4.00,26.05,5.21
26,2022-06-26,0.00,0.00,4.00,22.05,4.41
27,2022-06-27,16.75,3.35,4.00,31.45,6.29
28,2022-06-28,0.25,0.05,4.00,27.65,5.53
29,2022-06-29,0.00,0.00,4.00,23.65,4.73
30,2022-06-30,0.50,0.10,4.00,20.05,4.01
31,2022-07-01,1.75,0.35,4.00,17.45,3.49
32,2022-07-02,0.00,0.00,4.00,13.45,2.69
33,2022-07-03,0.00,0.00,4.00,9.45,1.89
34,2022-07-04,2.00,0.40,4.00,7.05,1.41
35,2022-07-05,1.25,0.25,4.00,4.05,0.81
36,2022-07-06,0.00,0.00,4.00,0.05,0.01
37,2022-07-07,10.25,2.05,0.05,8.20,1.64
38,2022-07-08,22.25,4.45,4.00,22.00,4.40
39,2022-07-09,7.75,1.55,4.00,24.20,4.84
40,2022-07-10,23.25,4.65,4.00,38.80,7.76
41,2022-07-11,16.00,3.20,4.00,47.60,9.52
42,2022-07-12,1.50,0.30,4.00,44.80,8.96
43,2022-07-13,9.50,1.90,4.00,48.40,9.68
44,2022-07-14,1.00,0.20,4.00,45.20,9.04
45,2022-07-15,2.25,0.45,4.00,43.00,8.60
46,2022-07-16,0.00,0.00,4.00,39.00,7.80
47,2022-07-17,14.25,2.85,4.00,46.40,9.28
48,2022-07-18,12.75,2.55,4.00,52.60,10.52
49,2022-07-19,11.75,2.35,4.00,58.00,11.60
50,2022-07-20,1.75,0.35,4.00,55.40,11.08
51,2022-07-21,0.25,0.05,4.00,51.60,10.32
52,2022-07-22,0.50,0.10,4.00,48.00,9.60
53,2022-07-23,3.25,0.65,4.00,46.60,9.32
54,2022-07-24,6.25,1.25,4.00,47.60,9.52
55,2022-07-25,0.50,0.10,4.00,44.00,8.80
56,2022-07-26,3.00,0.60,4.00,42.40,8.48
57,2022-07-27,33.25,9.98,4.00,61.67,12.33
58,2022-07-28,0.00,0.00,4.00,57.67,11.53
59,2022-07-29,1.50,0.30,4.00,54.87,10.97
